,precision,recall,f1-score,support
0,0.9819890368050117,0.9976133651551312,0.9897395422257301,1257.0
1,0.9974160206718347,0.9805249788314987,0.9888983774551665,1181.0
accuracy,0.9893355209187858,0.9893355209187858,0.9893355209187858,0.9893355209187858
macro avg,0.9897025287384231,0.9890691719933149,0.9893189598404484,2438.0
weighted avg,0.9894620753393506,0.9893355209187858,0.9893320706941323,2438.0
